type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Rio Chili, , ,10000000,11015404.4991538, , , ,-71.52625014216062, , , , , , 
TRACK,Rio Chili,-16.32618712378866,-71.52890361897221,8193306.04092593,229797.577242065,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.33154428994379,-71.53283193906566,8192707.73368485,229384.997696446,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.33804297655809,-71.53410054850131,8191986.57905573,229258.336467679,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.34384102697237,-71.53534760616826,8191343.01803986,229133.024833745,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.34846399354626,-71.53605511707916,8190830.26745029,229063.77514792,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.35523749431334,-71.53586893481049,8190080.62184672,229093.026994388,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.36099481900966,-71.5365601189512,8189442.30680239,229027.099568663,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.36461404208565,-71.5367028620516,8189041.43196028,229016.843285415,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.36629314922767,-71.53604573611419,8188856.41453653,229089.399495241,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.36887145990251,-71.53568630247861,8188571.44909685,229131.379116517,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37000381412104,-71.53560260739631,8188446.19775109,229141.889187822,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37089372532421,-71.5353205415435,8188348.05190007,229173.26623179,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37194695262836,-71.53482334780745,8188232.1122372,229227.861559902,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37374071314453,-71.53421335133477,8188034.33851556,229295.535559563,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37475230839229,-71.53380662721325,8187922.88717903,229340.40294251,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37579751834716,-71.5337363290673,8187807.26575852,229349.359917258,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37714542867629,-71.53358389491555,8187658.24191192,229367.513468467,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37900472796147,-71.53365456192189,8187452.3046972,229362.529164589,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.37946564952721,-71.5344598769782,8187400.20190721,229277.097230507,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38086062273352,-71.53492167740451,8187245.14817445,229229.670102805,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38304614286199,-71.53485878471808,8187003.27294942,229239.412905895,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38399455778842,-71.53575464728505,8186897.07799672,229144.980188783,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38563619656886,-71.53571070046787,8186715.39053664,229151.947397487,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38698524116627,-71.53580805800819,8186565.90754292,229143.408579075,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38824020743813,-71.53579684552447,8186426.9849305,229146.342901009,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38891457997532,-71.53665787565342,8186351.17493689,229055.256877233,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.38982202432959,-71.53747362940153,8186249.6215078,228969.332850987,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39117697334853,-71.53837171376749,8186098.41411003,228875.230786238,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39169673272805,-71.53901887930871,8186040.00594429,228806.78847148,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39212104197648,-71.53917676154508,8185992.81930598,228790.503575559,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39315691875124,-71.53956564246664,8185877.6166832,228750.379686013,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39432763535729,-71.53965606165585,8185747.88504867,228742.339248237,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39714972003143,-71.54167133105986,8185432.75278724,228530.886016172,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39807613939182,-71.54238251213796,8185329.23566733,228456.170103071,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.39943913757615,-71.54250370118116,8185178.17470735,228445.110812239,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40087159527567,-71.54289780213854,8185019.05807835,228404.983629754,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40259882297316,-71.5431200622976,8184827.53734968,228383.630110342,False, , ,0, , , , , , 
