type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41916257838605,-71.48118371175408,8183075.82225148,235024.697254128,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41934601912733,-71.48136061243402,8183055.28262653,235006.044106112,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41937920349975,-71.48144639590109,8183051.49661759,234996.923118411,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41946739856791,-71.48154991859222,8183041.59733741,234985.981297993,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41951150553003,-71.48167513672978,8183036.5504949,234972.66152846,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41962698982713,-71.48168997345252,8183023.74619794,234971.232851447,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41978334185162,-71.48179030233551,8183006.30565571,234960.724761198,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.41992338025397,-71.48208706540299,8182990.41395442,234929.205561081,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42014599591518,-71.48230008575452,8182965.49000298,234906.746340072,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42029915546889,-71.4823994318229,8182948.40413201,234896.33901524,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42037647398242,-71.48258689316692,8182939.5989711,234876.413704951,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42057798936898,-71.48272005490449,8182917.11547902,234862.458837449,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42075462691047,-71.48289512385759,8182897.33122938,234843.992470531,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42096683694696,-71.48306171944603,8182873.61994364,234826.479790587,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42119799441069,-71.48348640816573,8182847.47291678,234781.415763142,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42137554537147,-71.48353970035242,8182827.74700632,234775.962538128,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42217665554752,-71.48385994098446,8182738.63908437,234742.832666233,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42224194682159,-71.48405692284936,8182731.15276514,234721.874015886,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42234558550706,-71.48423683112711,8182719.44348026,234702.791743409,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4223658688114,-71.48432183670138,8182717.08657072,234693.73653802,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42251793984385,-71.48455810970573,8182699.94158465,234668.697562228,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42256437066,-71.48475103742284,8182694.54848091,234648.146530315,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42262339117934,-71.48486190873273,8182687.86916247,234636.380231831,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4226400787364,-71.48496733018079,8182685.88353106,234625.138748335,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42263476745004,-71.48516454204861,8182686.21297243,234604.059689893,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42270422988496,-71.48527164360611,8182678.38257815,234592.710384986,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42307292271251,-71.485625554878,8182637.10166294,234555.396356874,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42310669448201,-71.48568475182726,8182633.2852638,234549.117135858,False, , ,0, , , , , , 
